#       k [h/Mpc]           P_cdm          P_vcdm         P_total
        0.940445        0.288867        0.288867        0.288867
               1        0.250761        0.250761        0.250761
         1.06333         0.21752         0.21752         0.21752
         1.13066        0.188548        0.188548        0.188548
         1.20226        0.163317        0.163317        0.163317
          1.2784        0.141365        0.141365        0.141365
         1.35936        0.122282        0.122282        0.122282
         1.44544        0.105703        0.105703        0.105703
         1.53697       0.0913134       0.0913134       0.0913134
         1.63431       0.0788316       0.0788316       0.0788316
          1.7378       0.0680137       0.0680137       0.0680137
         1.84785       0.0586446       0.0586446       0.0586446
         1.96487       0.0505359       0.0505359       0.0505359
          2.0893       0.0435229       0.0435229       0.0435229
          2.2216       0.0374618       0.0374618       0.0374618
         2.36229       0.0322267       0.0322267       0.0322267
         2.51189       0.0277081       0.0277081       0.0277081
         2.67096       0.0238102       0.0238102       0.0238102
          2.8401       0.0204501       0.0204501       0.0204501
         3.01995       0.0175551       0.0175551       0.0175551
         3.21119       0.0150625       0.0150625       0.0150625
         3.41455       0.0129174       0.0129174       0.0129174
         3.63078       0.0110726       0.0110726       0.0110726
         3.86071      0.00948678      0.00948678      0.00948678
         4.10519      0.00812439      0.00812439      0.00812439
         4.36516      0.00695455      0.00695455      0.00695455
         4.64159      0.00595057      0.00595057      0.00595057
         4.93552      0.00508935      0.00508935      0.00508935
         5.24807      0.00435096      0.00435096      0.00435096
         5.58042      0.00371819      0.00371819      0.00371819
         5.93381      0.00317619      0.00317619      0.00317619
         6.30957      0.00271213      0.00271213      0.00271213
         6.70914        0.002315        0.002315        0.002315
           7.134      0.00197528      0.00197528      0.00197528
         7.58578      0.00168481      0.00168481      0.00168481
         8.06616      0.00143654      0.00143654      0.00143654
         8.57696      0.00122443      0.00122443      0.00122443
         9.12011      0.00104328      0.00104328      0.00104328
         9.69765      0.00088864      0.00088864      0.00088864
         10.3118     0.000756675     0.000756675     0.000756675
         10.9648     0.000644102     0.000644102     0.000644102
         11.6591     0.000548107     0.000548107     0.000548107
         12.3975     0.000466277     0.000466277     0.000466277
         13.1826     0.000396547     0.000396547     0.000396547
         14.0174     0.000337146     0.000337146     0.000337146
          14.905     0.000286562     0.000286562     0.000286562
         15.8489     0.000243499     0.000243499     0.000243499
         16.8526     0.000206851     0.000206851     0.000206851
         17.9198     0.000175672     0.000175672     0.000175672
         19.0546     0.000149154     0.000149154     0.000149154
         20.2613     0.000126606     0.000126606     0.000126606
         21.5443      0.00010744      0.00010744      0.00010744
         22.9087     9.11532e-05     9.11532e-05     9.11532e-05
         24.3594     7.73167e-05     7.73167e-05     7.73167e-05
          25.902      6.5565e-05      6.5565e-05      6.5565e-05
         27.5423     5.55867e-05     5.55867e-05     5.55867e-05
         29.2864     4.71163e-05     4.71163e-05     4.71163e-05
         31.1411     3.99278e-05     3.99278e-05     3.99278e-05
         33.1131     3.38287e-05     3.38287e-05     3.38287e-05
         35.2101     2.86552e-05     2.86552e-05     2.86552e-05
         37.4398     2.42678e-05     2.42678e-05     2.42678e-05
         39.8107      2.0548e-05      2.0548e-05      2.0548e-05
         42.3318     1.73948e-05     1.73948e-05     1.73948e-05
         45.0125     1.47226e-05     1.47226e-05     1.47226e-05
          47.863     1.24585e-05     1.24585e-05     1.24585e-05
          50.894     1.05406e-05     1.05406e-05     1.05406e-05
          54.117     8.91632e-06     8.91632e-06     8.91632e-06
          57.544     7.54093e-06     7.54093e-06     7.54093e-06
         61.1881     6.37656e-06     6.37656e-06     6.37656e-06
         65.0629     5.39103e-06     5.39103e-06     5.39103e-06
         69.1831     4.55703e-06     4.55703e-06     4.55703e-06
         73.5642      3.8514e-06      3.8514e-06      3.8514e-06
         78.2228     3.25449e-06     3.25449e-06     3.25449e-06
         83.1764     2.74964e-06     2.74964e-06     2.74964e-06
         88.4437     2.32273e-06     2.32273e-06     2.32273e-06
         94.0445      1.9618e-06      1.9618e-06      1.9618e-06
             100     1.65669e-06     1.65669e-06     1.65669e-06
         106.333     1.39882e-06     1.39882e-06     1.39882e-06
         113.066     1.18092e-06     1.18092e-06     1.18092e-06
         120.226     9.96807e-07     9.96807e-07     9.96807e-07
          127.84     8.41279e-07     8.41279e-07     8.41279e-07
         135.936     7.09916e-07     7.09916e-07     7.09916e-07
         144.544     5.98981e-07     5.98981e-07     5.98981e-07
         153.697     5.05312e-07     5.05312e-07     5.05312e-07
         163.431     4.26233e-07     4.26233e-07     4.26233e-07
          173.78     3.59482e-07     3.59482e-07     3.59482e-07
         184.785     3.03144e-07     3.03144e-07     3.03144e-07
         196.487     2.55603e-07     2.55603e-07     2.55603e-07
          208.93      2.1549e-07      2.1549e-07      2.1549e-07
          222.16     1.81649e-07     1.81649e-07     1.81649e-07
         236.229     1.53104e-07     1.53104e-07     1.53104e-07
         251.189     1.29029e-07     1.29029e-07     1.29029e-07
         267.096     1.08727e-07     1.08727e-07     1.08727e-07
          284.01     9.16081e-08     9.16081e-08     9.16081e-08
         301.995     7.71758e-08     7.71758e-08     7.71758e-08
         321.119     6.50098e-08     6.50098e-08     6.50098e-08
         341.455     5.47555e-08     5.47555e-08     5.47555e-08
         363.078     4.61135e-08     4.61135e-08     4.61135e-08
         386.071     3.88313e-08     3.88313e-08     3.88313e-08
         410.519     3.26955e-08     3.26955e-08     3.26955e-08
         436.516     2.75264e-08     2.75264e-08     2.75264e-08
         464.159      2.3172e-08      2.3172e-08      2.3172e-08
         493.552     1.95045e-08     1.95045e-08     1.95045e-08
         524.807     1.64158e-08     1.64158e-08     1.64158e-08
         558.042     1.38148e-08     1.38148e-08     1.38148e-08
         593.381     1.16248e-08     1.16248e-08     1.16248e-08
         630.957     9.78098e-09     9.78098e-09     9.78098e-09
         670.914     8.22884e-09     8.22884e-09     8.22884e-09
           713.4     6.92235e-09     6.92235e-09     6.92235e-09
         758.578     5.82275e-09     5.82275e-09     5.82275e-09
         806.616     4.89737e-09     4.89737e-09     4.89737e-09
